,Execution 1,,,,Execution 2,,,,Execution 3,,,,Execution 4,,,,Execution5,,,,Execution 6,,,,Execution7,,,,Execution 8,,,,Execution 9,,,,Execution 10,,
App,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN
FieldSensitivity2,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
FieldSensitivity3,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
FieldSensitivity4,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
FragmentLifecycle1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
FragmentLifecycle2,0,0,1,,0,0,1,,0,0,1,,0,1,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
HashMapAccess1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
IMEI1,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0
ImplicitFlow1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
InactiveActivity,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
InheritedObjects1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
JavaThread1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
JavaThread2,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Library2,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Lifecycle_EventOrdering1,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
ListAccess1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
LocationLeak1,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2
LocationLeak2,2,2,0,,2,1,0,,2,2,0,,0,0,2,,2,0,0,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,0,0,2
LocationLeak3,1,0,1,,0,0,2,,2,0,0,,0,0,2,,0,0,2,,2,0,0,,2,0,0,,2,0,0,,1,0,1,,0,0,2
LogNoLeak,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Loop1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Loop2,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Looper1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Merge1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,0,0,0,,0,1,0
MethodOverride1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
MultidimensionalArray1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
MultiHandlers1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Obfuscation1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ObjectSensitivity1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
ObjectSensitivity2,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Ordering1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
PlayStore1,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2
PrivateDataLeak3,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0
PublicAPIField1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,0,0,1,,0,0,1,,1,0,0,,0,0,1,,1,0,0,,0,0,1
PublicAPIField2,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection10,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection11,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection12,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection13,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection2,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection3,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection4,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection5,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection6,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection7,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection8,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
Reflection9,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
RegisterGlobal1,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
RegisterGlobal2,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
SendSMS,1,0,1,,1,0,1,,1,0,1,,1,0,1,,0,0,2,,1,0,1,,1,0,1,,0,0,2,,1,0,1,,1,0,1
Serialization1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ServiceCommunication1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,0,0,1,,1,0,0,,1,0,0,,0,0,1,,1,0,0,,1,0,0
ServiceLifecycle1,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
ServiceLifecycle2,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
SharedPreferenceChanged1,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
SharedPreferences1,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
SourceCodeSpecific1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
StartActivityForResult1,0,0,6,,0,0,6,,2,0,4,,0,0,6,,0,0,6,,0,0,6,,0,0,6,,0,0,6,,0,0,6,,0,0,6
StartProcessWithSecret1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,0,0,1,,1,0,0,,1,0,0,,0,0,1,,1,0,0,,1,0,0
StaticInitialization1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
StaticInitialization2,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
StaticInitialization3,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
StringFormatter1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,0,0,1,,1,0,0,,1,0,0,,0,0,1,,1,0,0,,1,0,0
StringPatternMatching1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
StringToCharArray1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
StringToOutputStream1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
UnreachableCode,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Unregister1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
UnresolvableIntent1,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0,,2,0,0
VirtualDispatch1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,1,0,,1,0,0,,1,0,0,,1,1,0,,1,0,0,,1,0,0
VirtualDispatch2,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
VirtualDispatch3,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
VirtualDispatch4,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
