App,Time instrumentation,Time execution 1,,Time execution 2,,Time execution 3,,Time execution 5,,Time execution 6,,Time execution 7,,Time execution 8,,Time execution 9,,Time execution 10
ObjectSensitivity2,9592,139367,,132231,,128498,,112978,,139665,,116470,,120115,,148692,,119644
Ordering1,10332,118347,,122584,,113092,,120011,,122165,,111262,,128828,,119614,,127996
PlayStore1,21699,181079,,171437,,174132,,173553,,178044,,168685,,163356,,166804,,168014
PrivateDataLeak3,10342,169858,,198753,,167230,,182160,,167170,,193347,,193510,,182812,,172954
PublicAPIField1,2010,113204,,106066,,129541,,10051,,9410,,125550,,10074,,118008,,9782
PublicAPIField2,2101,111769,,124928,,113063,,44135,,50114,,119943,,47591,,118328,,50613
Reflection1,10317,167859,,180110,,173943,,71898,,166781,,172861,,67273,,177931,,170847
Reflection10,12468,180685,,176616,,178665,,177503,,184235,,172206,,175818,,204505,,179011
Reflection11,12744,176987,,176315,,169007,,156546,,174781,,176078,,169227,,180312,,174336
Reflection12,13027,132082,,133887,,124468,,125123,,124521,,116846,,113444,,147045,,117397
Reflection13,12561,130180,,130184,,134366,,124668,,127927,,126265,,104355,,135241,,115292
Reflection2,10692,176722,,177921,,185896,,69828,,180500,,178316,,67681,,179302,,168368
Reflection3,10362,172382,,181113,,176871,,173368,,160241,,187398,,184867,,189974,,169490
Reflection4,10576,181273,,187352,,190046,,70465,,176541,,174188,,69210,,183526,,171894
Reflection5,13035,131099,,120089,,84595,,118628,,125141,,112873,,120955,,144007,,131168
Reflection6,13287,183801,,171438,,185086,,182242,,179278,,177459,,184646,,184738,,181219
Reflection7,12755,169826,,196581,,176983,,187116,,182633,,180765,,171812,,184160,,171875
Reflection8,13060,176128,,187870,,185739,,69631,,67474,,180003,,64637,,189532,,69332
Reflection9,12704,183619,,172860,,191818,,181971,,172406,,179691,,177931,,191584,,167051
RegisterGlobal1,10221,123963,,119928,,138075,,109891,,99655,,120572,,96027,,120304,,100505
RegisterGlobal2,10187,120737,,122994,,115935,,115719,,113930,,106158,,120882,,119343,,114095
SendSMS,12681,272134,,274336,,280160,,300540,,278649,,273984,,290061,,290094,,301800
Serialization1,2120,124235,,114480,,73032,,112832,,109683,,111512,,116364,,110287,,109265
ServiceCommunication1,1861,195891,,209290,,213187,,11184,,206551,,221970,,11638,,183589,,201074
ServiceLifecycle1,9291,5604,,7150,,11859,,12400,,11110,,25191,,11545,,26479,,10462
ServiceLifecycle2,1823,115139,,109184,,111125,,45668,,41257,,107437,,49283,,115507,,49331
SharedPreferenceChanged1,1863,111534,,127621,,108137,,105823,,118954,,117606,,118596,,126080,,116050
SharedPreferences1,1778,120235,,104045,,112559,,112179,,113757,,101629,,118321,,120676,,107533
SourceCodeSpecific1,9529,164016,,179793,,135726,,63466,,171261,,144933,,58871,,167139,,145266
StartActivityForResult1,13021,359090,,428886,,391882,,394618,,345577,,387426,,381672,,371768,,383210
StartProcessWithSecret1,2001,112775,,114737,,124530,,113153,,117612,,123650,,119063,,122538,,126283
StaticInitialization1,9563,116403,,115414,,124272,,49272,,116826,,118299,,47569,,118420,,110910
StaticInitialization2,9670,89182,,96077,,69221,,49073,,93493,,95135,,8442,,100191,,76619
StaticInitialization3,1862,113545,,115944,,124010,,41830,,119438,,111465,,44530,,122227,,117720
StringFormatter1,1883,115777,,135969,,119471,,118074,,115051,,109234,,130035,,114469,,126004
StringPatternMatching1,1805,116079,,119116,,119700,,52301,,120247,,113967,,48239,,120653,,129094
StringToCharArray1,1835,114698,,124929,,123116,,42209,,116131,,118884,,43134,,116967,,110542
StringToOutputStream1,1994,116562,,117943,,125843,,43694,,114435,,118042,,48927,,123885,,125158
UnreachableCode,9396,121524,,127543,,126831,,122904,,121715,,110351,,105546,,112145,,124045
Unregister1,10157,115145,,125691,,124290,,130421,,117570,,122125,,117305,,117451,,126902
UnresolvableIntent1,13747,121766,,105005,,96547,,48183,,111530,,104971,,51273,,111940,,113706
VirtualDispatch1,9593,135377,,123586,,124389,,49848,,129028,,132955,,44662,,129901,,133087
VirtualDispatch2,1872,59182,,9813,,10415,,9033,,10149,,10444,,9788,,9447,,9838
VirtualDispatch3,21243,125875,,117922,,125657,,119416,,129746,,120490,,125650,,129303,,113414
VirtualDispatch4,21937,125202,,114316,,121851,,119595,,106161,,120892,,121710,,128275,,122057
